RCP_NM,rcp_parts_dtls_cleaned
깐풍주먹밥,"
찹쌀현미밥 밀가루 파인애플 부추 
 스 다진 마늘 다진 붉은 고추 다진 풋고추 식초 
함초가루 설탕"
닭봉주먹밥,"
당근 양파 시래기 치즈 밥 새싹채 
 간장 
 스 레몬즙 마요네즈 꿀 부순 참깨"
봄주먹밥,"
두릅 올리브유 미나리 
주먹밥 데친 꼬막살 올리브유 밥 참깨 
두부강된장 참기름 다진 양파 다진 당근 
다진 애호박 물 된장 
고춧가루 다진 마늘 송송 썬 붉은 고추 
송송 썬 청양고추 으깬 두부"
깻잎장아찌롤,"
밥 참기름 참깨 
허브타르타르 양파 피클 삶은 달걀 마요네즈 
머스터드 스 설탕 물 머스터드 스"
참치비빔밥롤,"
당근 가지 참치 김밥용 김 케일 
참치 후춧가루 올리브유 
사과 식초 굵게 다진 사과 로즈마리 꿀 
토마토 스 토마토 고추"
새싹참치김밥,"
새싹채 참치 
 스 저염간장 마요네즈 설탕"
연어주먹밥튀김,"
통조림 연어 식초 데리야키 스 
달걀 빵가루 어린잎채 
오리엔탈 스 식초 레몬즙 간장 다진 마늘 꿀 
올리브유 참깨"
오징어불고기김밥,"
채 썬 쇠고기 우둔살 달걀 김 깻잎 새송이버섯 
 매실청"
닭가슴살청포묵비빔밥,"
쌀 달걀지단 무순 
 
비빔 스 저염간장 참기름"
족발수육,"
"
함초떡갈비,"갈은 고기 갈은 돼지고기 당근 새송이버섯 
함초 양파 샐러리 파 
다진마늘 참기름 통깨 함초 금 
 스 발사믹식초 설탕 흰후추"
삼색소면,"면 분홍 초록 흰색 각 쪽파 청고추 홍고추 마늘 
국물 다시마물 모시조 볶은 금 청주"
돼지수육맑은전골,"통삼겹 된장 통후추 
다진 파 팽이버섯 당근 배추 청경채 
애호박 숙주 청양고추 
 천연다시다 물 다진마늘 
곁들이장 어간장 겨자 식초 깨"
채소비빔밥,"쌀 바지락 다진쇠고기 물 참기름 흰후추 다진마늘 
애호박 양파 오이 당근 표고 
두부볶음 두부 함초 깻잎 양파 다진파 다진마늘"
열무김치파스타,"파스타면 열무김치 오이 청홍고추 각각 
노란 파프리카 양파 당근 
생들기름 통깨 청양고추"
해초갈비찜,"찜갈비 마른미역줄기 감자 양파 청고추 
홍고추 추 당근 메추리알 
 
참기름 올리고당 통깨"
